design,sku,opl_m,n_exit,hole_r,nominal_ok,nominal_exit_clear_mm,input_offset_t_pos,input_offset_t_neg,input_offset_z_pos,input_offset_z_neg,input_angle_pos,input_angle_neg,input_angle_sag_pos,input_angle_sag_neg,P_cap_mm,Th_cap_mrad,pass_al_flexure,margin_al_flexure_pos,margin_al_flexure_ang,pass_hybrid_plastic,margin_hybrid_plastic_pos,margin_hybrid_plastic_ang
D190_26m_trigas,CM254-200-M01,25.722680366632158,176,1.3,True,0.9693383512737581,0.9837890624999999,0.9989453125000001,0.4985742187500001,0.500625,22.3671875,10.133984375000002,10.446875000000002,30.0,0.4985742187500001,10.133984375000002,True,7.122488839285714,50.66992187500001,True,2.9327895220588243,18.42542613636364
D160_27m,CM254-075-M01,26.71776568343663,228,1.3,True,0.993502187359715,1.0910156250000003,1.0554687500000002,3.0,3.0,16.639843750000008,30.0,14.24453125,30.0,1.0554687500000002,14.24453125,True,15.078125000000002,71.22265625,True,6.208639705882354,25.899147727272723
D180_24m_H2,CM254-200-M01,23.826005275797712,176,1.3,True,0.8344242323631712,0.8694531250000002,0.8575781250000001,0.41142578124999996,0.41267578125000004,5.9945312500000005,30.0,8.665234375,30.0,0.41142578124999996,5.9945312500000005,True,5.877511160714285,29.97265625,True,2.4201516544117645,10.899147727272727
D180_15m_sparse,CM254-100-M01,15.297950962488704,112,1.3,True,1.0240499089966288,1.0335156250000002,1.0520312500000002,3.0,3.0,18.7734375,30.0,30.0,30.0,1.0335156250000002,18.7734375,True,14.764508928571429,93.8671875,True,6.07950367647059,34.13352272727273
D130_9m_halfinch,CM127-050-M01,9.111922026576464,98,0.8,True,0.49293978767938196,0.5066796875000001,0.54130859375,1.1801171875,3.0,7.996875,30.0,22.967187499999998,23.053906249999997,0.5066796875000001,7.996875,True,7.238281250000002,39.984375,True,2.980468750000001,14.539772727272727
D190_19m_2inch,CM508-150-M01,19.04050608132969,152,1.3,True,0.9856219849755836,1.1366015625,1.338359375,3.0,3.0,30.0,13.15546875,30.0,30.0,1.1366015625,13.15546875,True,16.237165178571427,65.77734375,True,6.6858915441176485,23.91903409090909
D190_29m_max,CM254-750-M01,28.993853503904212,204,1.3,True,0.7709042955945431,0.91625,0.8101171875,0.47267578125,2.0550781249999996,3.0241210937500003,13.8984375,3.1943359375000004,19.45625,0.47267578125,3.0241210937500003,True,6.752511160714285,15.12060546875,True,2.780445772058824,5.498401988636363
D150_14cm_flight,CM254-500-M01,20.662379961566458,204,1.3,True,0.9575260907406505,0.9605078125,0.9594140625,0.41029296875,0.53470703125,6.186718750000001,30.0,4.1978515625,22.102343750000003,0.41029296875,4.1978515625,True,5.861328124999999,20.9892578125,True,2.4134880514705883,7.632457386363637
D180_22m,CM254-100-M01,22.25111690725569,182,1.3,True,0.9510371552792296,0.9003124999999998,0.36566406249999994,0.6618749999999999,2.0506249999999997,6.4535156250000005,10.116406250000002,13.049218750000001,30.0,0.36566406249999994,6.4535156250000005,True,5.22377232142857,32.267578125,True,2.1509650735294117,11.733664772727273
