design,n_rays,n_steps,path_m,w_min_mm,w_max_mm,w_min_abcd_mm,w_max_abcd_mm,band_dev_min_pct,band_dev_max_pct,dephase_major_mean_pct,dephase_signed_mean_pct
freespace,17,207,0.61757246347999,0.2913000000002536,1.2618760083957563,0.2913,1.2618777790751488,8.706368959110478e-11,-0.0001403209900052,0.0001010232857654,-0.0001010232849242
D150_14cm_flight,17,2234,20.202502745779448,0.2862717546245649,0.451940782660254,0.2874957683234669,0.4552707677078867,-0.4257501618336379,-0.7314295763810819,11.396160970444534,0.9880538969629772
D190_26m_trigas,17,3247,25.315168906064564,0.2636217606793961,0.3270285327068878,0.264761111880862,0.337303691980787,-0.4303317784745464,-3.046263506206892,3.692743021676778,-0.9252747898908013
D160_27m,17,3100,26.199279858613128,0.1639510935950555,0.2671546945194725,0.1549510714501829,0.3268984067734126,5.808299394538929,-18.275926408950383,9.470221027854548,-4.016553506656222
D180_24m_H2,17,2929,23.41357211411041,0.2301940594211919,0.4562972620662222,0.2319178496886536,0.4691193857877654,-0.743276237588375,-2.7332325437823823,11.26407378903727,-0.3776927926194133
D180_15m_sparse,17,1891,15.058662966580556,0.1978645235864867,0.2868841198982057,0.1977446102596817,0.3096859511833387,0.0606405032468337,-7.362888499786657,8.00001564101608,-2.3735122879965176
D130_9m_halfinch,17,943,8.946977886874933,0.1089579700967919,0.2550097323370698,0.1104856863890171,0.3077896826311203,-1.3827277923098014,-17.148057024804874,15.08017937951204,-4.61045049928648
D190_19m_2inch,17,2275,18.7657285725988,0.1734659066884263,0.375882952697704,0.1731221439721268,0.395856531252564,0.1985665775690037,-5.045660985221046,13.068474880731854,0.3933261952666814
D190_29m_max,17,3623,28.527356220229866,0.4145590251876556,0.4470223985448098,0.4145127041018668,0.4488176428412888,0.0111748289812085,-0.3999941457546008,1.0548109378661128,-0.3409455211599682
D180_22m,17,2631,21.951711469900566,0.1837278128598582,0.29455863231713236,0.19201014971468394,0.32126943018238796,-4.3134890874950145,-8.314142385128765,10.151001695950088,-1.4591240652460287
