design,n_families,P_main,eta,rim_clip,od_pp,od_rms,od_res,od_scatter,strongest_ghost_rel,d_min_cycle_mm,L_det_safe_1e5_mm,L_det_safe_1e4_mm,od_pp_slow,od_eff_averaged,od_eff_tilted_det
D130_9m_halfinch,6,0.9019213054502597,0.3296816524526074,1.0199183078039617e-08,0.06405061928309301,0.016166392724151567,0.015439559540186111,0.0004255353840872299,0.004613216723238314,2.1768696295097834,0.0,8.982456140350877,0.03645835843842536,0.03410642269077253,3.606340535771219e-05
D150_14cm_flight,2,0.815379142779835,0.25623414672903666,5.89651566639478e-14,1.5901036054532974e-07,5.622064768844065e-08,5.215222930158501e-08,0.00041309746223924863,1.581594855082358e-15,4.230348593337789,72.82205513784461,86.78696741854637,1.590103787576495e-07,1.4875250533895375e-07,0.0
D160_27m,1,0.7960334462988972,0.2119660897766831,4.653597629061105e-20,0.0,0.0,0.0,0.0006484159921614587,0.0,5.021523609553761,77.80952380952381,86.78696741854637,0.0,0.0,0.0
D180_15m_sparse,1,0.8939941590229386,0.21154651975012215,3.899669848419663e-20,0.0,0.0,0.0,0.000422528463913301,0.0,3.1935848323773186,77.80952380952381,86.78696741854637,0.0,0.0,0.0
D180_22m,2,0.8335253938133808,0.202120334553685,5.47622064865822e-22,0.0,0.0,0.0,0.0005155811949349408,5.148264183158675e-08,2.010107742214812,76.81203007518796,85.78947368421052,0.0,0.0,0.0
D180_24m_H2,4,0.8347813048981245,0.3464579085695901,5.8043497312374715e-08,0.0439344283177773,0.013163704320483374,0.012698399365536373,0.00039497915286755656,0.003746466587222614,3.9945190628884544,0.0,0.0,0.03647416483853187,0.034121190703940145,4.972560467027012e-06
D190_19m_2inch,2,0.8589229565610531,0.238104610285968,4.778557828138985e-16,5.8602684371855687e-08,2.071874028849562e-08,2.071873507111842e-08,0.0004387059351527046,4.767980213765935e-16,5.49088665260967,76.81203007518796,88.78195488721803,0.0,9.363177996202227e-11,9.363177996202227e-11
D190_26m_trigas,6,0.8385441389698703,0.24826483403201435,8.08415639410093e-15,6.088104909096634e-08,2.147110109156562e-08,1.991638288984368e-08,0.0004651948955235241,2.206522640326108e-13,2.494458693857347,74.81704260651628,87.7844611528822,6.072917793554477e-08,5.6811495172071726e-08,9.300637081070166e-14
D190_29m_max,5,0.8102092929886395,0.3445151814007232,4.807428441432812e-08,0.043132404484110126,0.013014945212380467,0.012114028791824154,0.0003544050942340816,0.0051562329419310785,3.097719921322551,0.0,0.0,0.036137812372940795,0.03380653624553739,1.4494992029495742e-06
