param,sigma,probe_sigma,Y_nominal,Y_mean,Y_std,mean_shift,dY_dsigma,abs_delta_at_1sigma
sigma_tilt,0.5,1.5,0.0,8.715376374778376,4.890592685468252,8.715376374778376,6.642547528331506,3.321273764165753
sigma_R_ring,0.1,0.30000000000000004,0.0,5.40707043319354,6.056562911843797,5.40707043319354,26.87446456665789,2.687446456665789
sigma_d_lateral,0.05,0.15000000000000002,0.0,4.751924920952195,2.6842622710970856,4.751924920952195,36.27421661358009,1.8137108306790044
sigma_dR,1.0,3.0,0.0,3.4450558024365634,2.2533475191988295,3.4450558024365634,1.3670343061664696,1.3670343061664696
sigma_d_axial,0.1,0.30000000000000004,0.0,1.9987361014739455,1.3506543208866872,1.9987361014739455,8.0094433295967,0.8009443329596699
sigma_input_tilt,0.5,1.5,0.0,1.0936642883867485,0.8450118237872308,1.0936642883867485,0.9170715308279961,0.45853576541399804
sigma_input_pos,0.05,0.15000000000000002,0.0,0.13308817820999694,0.09273602392483941,0.13308817820999694,1.0769800175451432,0.053849000877257164
sigma_H,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
sigma_refl,0.001,0.003,0.0,0.0,0.0,0.0,0.0,0.0
sigma_lambda,1e-07,3e-07,0.0,0.0,0.0,0.0,0.0,0.0
