sku,N,chord_skip,n_exit,opl_m,envelope_mm,wavelength_nm,grade,feasible_nominal,reason,w_hole_mm,w_max_mm,min_sep_mm,sep_margin_mm,hole_margin_mm,ap_margin_mm,exit_miss_mm,throughput,mc_complete_frac,walk_p95_mm,min_sep_p05_mm,overlap_frac,hole_clear_p05_mm,sep_ok,hole_ok,exit_ok,robust,robust_trim
CM254-750-M01,12,5,204,28.99385350390421,183.1404889696756,2121.8,flight,True,,0.5050890893362503,0.5089319139856502,1.238367904197293,0.2322065531746762,1.2903247699175282,0.251041668769318,0.07971818902052485,0.7765255890764077,0.99,0.4913741380013729,1.0078237912593149,0.05,0.7477340746967893,False,True,True,False,False
CM254-750-M01,12,5,204,28.99385350390421,183.1404889696756,2121.8,research,True,,0.5050890893362503,0.5089319139856502,1.238367904197293,0.2322065531746762,1.2903247699175282,0.251041668769318,0.07971818902052485,0.7765255890764077,0.42,2.1251119259003444,0.0,0.5,-0.4303059540941051,False,False,False,False,False
CM254-200-M01,16,7,176,24.774440244436025,179.52159848102542,2121.8,flight,True,,0.3817471247269115,0.39389740022209196,1.2439236196619075,0.5097979251861793,4.635037039873691,0.6374755809639439,9.413935937745957e-07,0.8393835223403672,1.0,0.3949438884999527,0.8584594949183894,0.03,4.185138423050747,False,True,True,False,False
CM254-200-M01,16,7,176,24.774440244436025,179.52159848102542,2121.8,research,True,,0.3817471247269115,0.39389740022209196,1.2439236196619075,0.5097979251861793,4.635037039873691,0.6374755809639439,9.413935937745957e-07,0.8393835223403672,0.84,1.4347935736629378,0.36647659627126866,0.13,2.6852664143609464,False,True,False,False,False
CM254-500-M01,12,5,204,20.66237996156646,140.85926816942373,2121.8,flight,True,,0.364769154559186,0.5169347815353318,1.4663297091703973,0.46428756701744933,2.459604659712716,0.3066948862151673,1.5865516497148734e-06,0.816195338072003,1.0,0.47476917907622296,1.0847614756564201,0.0,2.079336193062454,True,True,True,True,True
CM254-500-M01,12,5,204,20.66237996156646,140.85926816942373,2121.8,research,True,,0.364769154559186,0.5169347815353318,1.4663297091703973,0.46428756701744933,2.459604659712716,0.3066948862151673,1.5865516497148734e-06,0.816195338072003,0.56,1.937751383539004,0.0,0.23,1.0097861939059254,False,True,False,False,False
CM254-150-M01,16,7,144,20.38015540178735,180.3015598172956,2121.8,flight,True,,0.5409534265250212,0.6872908070082613,1.506741996643623,0.5563494396526198,1.8520293552263938,2.5950872046215263,3.951572456217701e-07,0.8666753606131241,1.0,0.27529745654833443,1.2287120218152205,0.0,1.4383871031613928,True,True,True,True,True
CM254-150-M01,16,7,144,20.38015540178735,180.3015598172956,2121.8,research,True,,0.5409534265250212,0.6872908070082613,1.506741996643623,0.5563494396526198,1.8520293552263938,2.5950872046215263,3.951572456217701e-07,0.8666753606131241,1.0,0.9262238471869947,0.8385862380138213,0.08,0.6830111843361925,False,True,False,False,False
CM254-150-M01,13,5,143,16.60249771134903,160.17054260057398,2121.8,flight,True,,0.3599955235602082,0.4635151459254995,1.1777046620048275,0.4564750266911326,3.2120879733584946,1.917500699418067,0.04434065630794494,0.841631713198121,1.0,0.3339206322091532,1.0008356793966573,0.0,2.8838328747158193,True,True,True,True,True
CM254-150-M01,13,5,143,16.60249771134903,160.17054260057398,2121.8,research,True,,0.3599955235602082,0.4635151459254995,1.1777046620048275,0.4564750266911326,3.2120879733584946,1.917500699418067,0.04434065630794494,0.841631713198121,1.0,1.122424758245384,0.3420162608932864,0.19,2.1199044548886277,False,True,False,False,False
CM254-150-M01,10,3,190,14.85313827497906,132.62880689021637,2121.8,flight,True,,0.2945125980469108,0.337067721678032,0.932574520338307,0.3081902104318752,1.6918940693305504,2.107298630218356,8.423587801939016e-07,0.8277082323676015,1.0,0.4805807717431403,0.6391479092268989,0.01,1.4254386005117945,True,True,True,True,True
CM254-150-M01,10,3,190,14.85313827497906,132.62880689021637,2121.8,research,True,,0.2945125980469108,0.337067721678032,0.932574520338307,0.3081902104318752,1.6918940693305504,2.107298630218356,8.423587801939016e-07,0.8277082323676015,0.96,1.8334171984576348,0.23077913464472044,0.46,0.3775458251244388,False,True,False,False,False
CM254-250-M01,12,5,132,13.638937109426903,142.9701877322692,2121.8,flight,True,,0.3363490431404304,0.3862842817917744,1.5362182990155808,0.7788040164911701,0.6052969728029489,3.3304979437759403,1.1951231457113935e-06,0.8771602801547705,1.0,0.2724860995258668,1.1640226259733977,0.0,0.3467184473734591,True,True,True,True,True
CM254-250-M01,12,5,132,13.638937109426903,142.9701877322692,2121.8,research,True,,0.3363490431404304,0.3862842817917744,1.5362182990155808,0.7788040164911701,0.6052969728029489,3.3304979437759403,1.1951231457113935e-06,0.8771602801547705,1.0,1.0656871680665787,0.6456731300238282,0.09,-0.2662803223082769,False,False,False,False,False
