input_angle_sag,w0_waist,waist_frac,family,sku,roc,N,chord_skip,R_ring,n_target,mode_s,input_offset_z,input_angle,M2,margin_want,size_class,envelope_max,opl_min,feasible,reason,opl_m,n_exit,throughput,exit_miss_mm,hole_margin_mm,ap_margin_mm,sep_margin_mm,min_sep_mm,w_max_mm,w_hole_mm,H_req_mm,stab_tan,stab_sag,aoi_deg,early_exit,polished,envelope_mm,grade,mc_complete_frac,walk_p95_mm,drift_p95_mrad,min_sep_p05_mm,overlap_frac,hole_clear_p05_mm,sep_ok,hole_ok,exit_ok,robust,robust_trim
0.0341463912330467,0.2369486517354284,1.5,one_inch,CM254-150-M01,300.0,16,7,72.1490489313183,144,sin,0.8509627178788317,-0.0368928729295837,1.0,0.8,D190,190.0,16.0,True,,20.379666512349857,144,0.8666920551556394,1.045722287675062e-05,1.8813793024803207,2.597541570983992,0.8296139016135431,1.4113093652750592,0.3833787186871959,0.3343167096751611,19.138226554350528,0.5188829097164922,0.5374283925788943,11.34643095248378,0.0,True,180.2980978626366,research,1.0,0.9348714803377086,8.488434114507264,0.7893948902996301,0.01,0.9613346763010199,True,True,True,True,True
0.0351587895978195,0.2616811226987153,1.0778525489798043,one_inch,CM254-250-M01,500.0,12,5,53.48483475987011,132,sin,-0.0726849938396805,0.0375192350048692,1.0,0.8,D150,150.0,10.0,True,,13.638871321104888,132,0.8771602801247274,1.555385051054851e-06,0.9206734314845773,2.486005227040131,1.0790350992813376,1.723752965976424,0.3297279873732237,0.2846549919816842,18.029738741399704,0.7859859682270441,0.800531972078262,15.04116135986188,0.0,True,142.96966951974022,research,1.0,1.0704524409043132,8.123063608907456,0.7510209365234645,0.02,0.04205685985722912,True,True,False,False,True
0.0434866091558856,0.2,0.7392882097377338,one_inch,CM254-100-M01,200.0,14,5,66.55262035132392,322,sin,-0.5272600350919938,-0.0530692145944515,1.0,0.8,D170,170.0,14.0,True,,38.61541466677718,322,0.7107222163959044,0.0233358891020278,2.1269575518729984,1.8822588625290155,0.8000148382428326,1.3713100234308502,0.360456414198912,0.2315539427517267,17.731478817753086,0.3331661881941893,0.4606116457627582,25.76625729266781,0.0,True,169.10524070264785,research,1.0,2.435930210293549,48.23361059313219,0.0761503441848093,0.63,0.25002988983759933,False,True,False,False,False
0.036395194203816,0.2946172229595425,0.9891364138312142,one_inch,CM254-200-M01,400.0,16,7,74.5074746695783,176,sin,0.3384151140907588,-0.0373185854394649,1.0,0.8,D190,190.0,16.0,True,,25.72268036663216,176,0.8393835223955773,2.4447855321477496e-06,0.8628547819793155,1.1300207783414855,1.100808752482898,1.7410115834597193,0.3408505003093695,0.3216890973961313,20.88209510551492,0.6272766951039337,0.64175742757468,11.361072521303583,0.0,True,185.0149493391566,research,0.95,1.2388286703789486,14.821588518311913,0.5249098747325912,0.09,-0.4235373652162578,False,False,False,False,False
0.0609135526153492,0.2,1.0,one_inch,CM254-075-M01,150.0,11,5,59.38,187,sin,0.0,0.0611229481092675,1.0,0.8,D160,160.0,12.0,True,,21.982058614350944,187,0.4130754734840832,0.1493844656945602,2.2331466796576325,0.9978130522810762,0.3101228254396035,0.8651653329886512,0.3306171427057814,0.2528615536076783,20.65685241346917,0.2077278528991887,0.22482927587531,8.505697086767883,0.0,False,154.76,research,0.93,2.636274617166821,1032.173447898669,0.07648691426540469,0.65,-0.06202036344958775,False,False,False,False,False
0.059087748301902,0.2078361653557394,1.0399730859940193,one_inch,CM254-050-M01,100.0,13,6,61.52966709534687,169,sin,-0.2050428295568139,-0.0575799593515586,1.0,0.8,D160,160.0,12.0,True,,20.645377879371583,169,0.845282780571363,2.9570169440697745e-07,2.8622157592448985,0.9528998033511976,0.8899124684635588,1.4277597834049829,0.4487176609341136,0.2628480505188912,21.75899068140454,-0.2313679898996534,-0.2121127717017059,7.345759174329882,0.0,True,159.05933419069373,research,0.91,4.179637341449593,863.9566217452011,0.09657270088234768,0.59,-0.37469168638204,False,False,False,False,False
0.0425448983105705,0.2,1.017124282860943,one_inch,CM254-075-M01,150.0,12,5,65.951219293136,156,sin,-0.0584581403263983,0.0648983761597961,1.0,0.8,D170,170.0,14.0,True,,19.87564403961485,156,0.8563487635529745,1.3964963874111386e-06,3.5916954590017705,1.238243117464318,0.9568710418380983,1.4976896429035718,0.3374602571488229,0.2628559867140714,16.932302518988095,0.1188812946999955,0.1815882200428171,15.056218243901464,0.0,True,167.902438586272,research,1.0,2.0826263550176343,39.27515575631448,0.05101922279661765,0.71,1.271779544475238,False,True,False,False,False
-0.0022140763321972,0.2,1.1089588031853304,one_inch,CM254-050-M01,100.0,12,5,51.73458572770799,180,cos,6.572634224098394,0.0662067231863583,1.0,0.8,D140,140.0,9.0,True,,17.98982670172176,180,0.8360310213463009,1.623344337528417e-07,1.0685651943689018,4.119569811939533,1.845391469685634,2.616618192360808,0.4062771302515797,0.247549952919704,20.352327680036435,-0.0372414705901811,0.0367084119602505,15.208080289371976,0.0,True,139.46917145541596,research,0.93,3.717781567827266,245.57162329978271,0.09466091266838578,0.32,-0.8676408503415497,False,False,False,False,False
0.0190793132879985,0.2,1.0869670778039833,one_inch,CM254-100-M01,200.0,16,7,69.63239152119593,112,sin,-0.0354654939763577,-0.0287531145383116,1.0,0.8,D180,180.0,15.0,True,,15.297950962488704,112,0.8948890480709737,3.924346315990352e-08,1.6236830318468924,6.30410918044428,1.122329378185868,1.7141673933249566,0.3129276455600706,0.2796192291902685,12.08085884873536,0.3036926320983887,0.3302804897743924,11.27475787476985,0.0,True,175.26478304239183,research,1.0,1.2412742123927374,15.429154067068483,0.37768944683003597,0.07,0.2594167232002099,False,True,False,False,False
0.0,0.2302115844585726,1.0,one_inch,CM254-150-M01,300.0,10,3,48.29,190,cos,4.718395226529081,-0.063438580593592,1.0,0.8,D140,140.0,9.0,True,,14.845508089549378,190,0.0468239075902464,0.295931472043919,2.1661564791225243,0.2370249549997556,0.5169092205241049,1.023076457120328,0.306460930390723,0.2469413188673301,21.859628975459884,0.6765222162022719,0.7902068262374159,36.085733685120616,0.0,False,132.57999999999998,research,0.31,1.5662394624234142,3055.529832408645,0.0,0.12,1.3613688387509535,False,True,False,False,False
0.0340257113289968,0.248345840523087,1.3936839798262546,one_inch,CM254-150-M01,300.0,10,3,51.66099495284334,110,sin,0.1566511030411769,0.049729078748106,1.0,0.8,D140,140.0,9.0,True,,9.194829771807694,110,0.1188355524653181,0.2788015763590614,1.5853920311874874,3.357484436778792,0.8000638122269024,1.3199470531028548,0.2943332908615965,0.2773520315116654,14.018425108814531,0.6569223329060123,0.7735453228649114,35.98805788572835,0.0,True,139.32198990568668,research,1.0,1.1556675022769094,8.581383228916724,0.2793014202628934,0.26,0.27779190109814184,False,True,False,False,False
